Doy;PC_D;PC_SY;PC_S;PC_RV;PC_H1;PC_H1b;PC_H3;PC_W;PC_L;Chla_NDCI;Chla_G08;PC_Lu;PC_Br1;PC_Br2;PC_Br3;chla_OC4Me;CHL_m;CHL2D_m;CHL2C_m;CHL_P;CHL2_P;NDCI
2021191;0.001302539307402541;280.6989165665723;907.866210338638;10.193778428196296;1.0740573084463216;4.570556462423402;0.8298045840452106;-0.009034435034806686;1335.095203596316;33.51730967362415;358.1408491437814;0.0007301280254179131;1.2112107356900015;4.603858668312964;2.625229277457912;19.31234224660238;136.39928696988417;254.61786256769145;44.87672721197561;79.79577854735065;70.88609602715017;-0.6080084753234066
2021192;0.0012735391627597334;254.79622354769674;764.4121916531864;9.240948329715437;0.8577159336753017;3.8122129060057826;0.6019208441952465;-0.008537818241626811;978.5600427704672;26.85596504006027;297.4534748937425;0.0007166905500460867;1.1973222612349586;3.997509291447151;2.425184347238667;14.631478958259418;128.37964886071032;241.5734111156276;43.04907234475404;76.53187047847804;66.49579742241973;-0.5607673639447168
2021193;0.0011257487107205963;316.7275252425627;702.7508737095255;5.765031169021604;1.1606411653493274;4.342442322543166;0.826358748406911;-0.006496079084987884;1075.1208798515972;30.31737648746107;267.9645855314444;0.0005977721431175948;1.2448046996622935;4.3917553575468125;2.590596674840926;16.853485385037793;95.49853292862808;188.090184737235;36.30171899099128;61.117213367982274;49.17060054513356;-0.5860800482249039
2021194;0.00112577384878307;328.9974480785856;906.5316496396141;5.80441686896447;1.3991481295461996;5.305678653523197;1.061319103317078;-0.0076061493000939015;1504.5702653286085;38.452744825756575;349.91291296962805;0.0005870019369661306;1.2484670956178154;5.204870150183954;2.8743929993432427;20.89439578242943;116.9924966793904;223.05148384355118;40.5811145695066;71.56346923491415;60.8643600381352;-0.6395805624031821
2021195;0.001197837207356581;309.5973218914988;934.7762518943933;7.648659367125958;1.2766036421899112;5.158268012015836;1.0304506873378014;-0.00836428178388764;1528.309452476004;38.6437949709032;371.9240962004702;0.0006141437975714677;1.2285138421691886;5.126704923606566;2.840257507092746;21.237490139636144;129.3786992939951;243.1984301872786;43.272631312259925;76.9490724618389;67.16160983115849;-0.6407549100496719
2021196;0.001342289869101853;297.1953930245733;911.734661134676;11.190021979807021;1.0799765668900445;4.70051672447406;1.0219354556655529;-0.009186399435001559;1501.0120147066098;38.87855872239765;378.5829585125933;0.0007193524258935887;1.2127799415031975;5.018451012438108;2.7775347973154294;25.665125270651696;142.43028315684174;264.4276614510546;46.30211620576223;82.12228040414124;73.93692780502809;-0.6421934668165319
2021197;0.001279853105012583;276.3973497874961;811.9762173097176;9.457055814680082;0.9412274888981368;4.4114835450158525;0.9310309975823025;-0.008538545779397342;1286.3301247676757;36.61144858583581;346.97973500351054;0.0006860172864201049;1.1925489024769886;4.693336264176064;2.6315429802069326;27.09360957261871;130.2503973467974;244.61630251216954;43.46864065553755;77.3106279991863;67.9583977014491;-0.6280886079274597
2021198;0.0010115252334015057;351.5136094583947;795.8221975951959;2.9150440437902603;1.3657820297359384;5.181246255152716;1.0775527327950174;-0.0064243760032234535;1422.7533840208553;39.41417555185229;319.21148147553845;0.0005170838203179678;1.2533352170243262;5.17532638951315;2.801409352853374;30.625338539663407;97.89538993208798;191.9888250989997;36.75564617505933;62.35128625298182;51.330864161634416;-0.6454572791033462
2021199;0.001077824412154993;314.8092689557421;648.8814597364388;4.574221976202907;1.0246048789355484;4.149996788615759;0.820495771916542;-0.006240203414958244;1054.820350402259;32.35697971502952;265.8235197807516;0.0005565803217433569;1.2242008005756984;4.3866877242026945;2.5244446488946766;24.32990682467484;93.06486562299021;184.1316700777576;35.84655588968349;59.846419881008835;48.632230351388046;-0.6002037847700543
2021200;0.0012731349014880227;331.9960477092283;807.1042472791945;9.630528669582162;1.1596801840191249;4.696409514876201;1.0272776873456646;-0.007762837268320357;1401.5021001502935;37.428353854485046;333.8707667759303;0.000672537712456612;1.2377837332957093;4.872829764300761;2.67302648907671;32.08424419073915;116.61030376644541;222.42982276229483;40.50078193009744;71.38991448585284;60.99936246619264;-0.633226696940698
2021201;0.0015003891588687233;323.66588910213153;903.1759553926344;15.448235048776432;1.1018316832568895;4.714762865874031;1.0844019225449613;-0.009381260144856305;1619.5338164726772;39.52015120649152;388.15220170125895;0.0008101274218931898;1.2243799606475345;4.983416129950845;2.685958882582578;35.793482496860584;141.13583566256585;262.32216027176673;45.99241391134764;81.63220230848047;73.63076585149958;-0.646100074386988
2021202;0.0014536141095398457;316.46184551365684;864.3372060078217;14.195752040023194;1.0508985537028581;4.662817024508372;1.0434527777087992;-0.009023635865865718;1526.707047687627;38.60518760766253;376.26187915708255;0.0007900497585752885;1.215482735207769;4.842932344053409;2.617643975103106;35.16406314410289;133.99851336646915;250.71285160699492;44.3216057873898;78.83907354534759;70.00640974947062;-0.640517863578886
2021203;0.0015093682442516836;291.1489846587574;803.0494840798265;15.421728507191503;0.8991248137936982;4.133722560817779;0.8659136551034949;-0.009240863275212164;1305.9874585214154;34.186841599405014;345.7388575335719;0.0008210606138171101;1.2021770740613662;4.438845039306706;2.500841605344722;27.918814281402057;137.2915738308604;256.06922389857294;45.08481484264328;80.14691348668973;71.42271015613893;-0.6124410276221391
2021204;0.0014857773777992717;277.1313327609064;730.4920723903948;14.737074508335205;0.7950556229908564;3.776606440739148;0.7692823743685913;-0.008960684466756106;1131.925313301026;31.82857091047702;316.7833786664912;0.0007989750905829367;1.1905515517171954;4.1988840006575545;2.4246367077437125;26.408607943478135;133.50110336373112;249.90378260111734;44.20745319666394;78.63867794049412;69.41426628652204;-0.5965957428832817
